# 格を補完しない述部を以下のパタンを使って抽出する
# (0617morita.txt.eucより作成)
# パタンと照合する必要のないものは'#'でコメントアウト
# 格を補完する必要がある述部も'#'でコメントアウト
#  h0630	って	終助詞

# -ラベル無し-
h0071	かもしれない	
#  h0270	た	
#  h0630	って	
#  h1080	べきだ	
#  h1126	ものか	
#  h0316	ためにし〜する	
h0632	とよい	
#  h0317	ため	
h0830	にあたって	
#  h0272	たいへん〜ので	
h1245	理由がない	
h0912	に違いない	
#  h0633	といい…といい	
#  h0318	ために	
#  h1164	や否や	
h0553	てみせる	
h1282	をする必要はない	
#  h0392	ている	
h1086	べきでない	
h1087	べきではない	
h0916	について	
h0557	てみたい	
h0873	に心を向ける余裕はない	
h0279	たがる	
h0954	によって	
h1130	ものだ	
#  h0203	しないで…する	
#  h1014	ので	
#  h0007	言い換えると〜
h0007	言い換えると	    
h1132	みたいなものだ	
h0601	でもって	
#  h1051	ばかりか	
h0125	ことこの上ない	
h1133	ようなものだ	
#  h0602	でも…でも関係なく	
h1251	わけはない	
#  h1017	のに	
#  h0243	するが、しかし同時に…する	
h0720	として	
h0640	という	
#  h0244	する義務や責任がある	
#  h0209	しなくてもいい	
h1253	わけだ	
h0282	だけではなく、さらに	
#  h0246	する代償に…する	
h0643	ということではない	
h0563	ていい	
#  h0680	といわず…といわず	
h1059	はずはない	
#  h0681	どうしてもしないわけにはいかない	
h0645	というと	
#  h0762	とほとんど同時に	
#  h0287	だけの値うちはあり、むだではない	
h1259	わけではない	
h0927	にとって	
#  h0729	とたん	
#  h0289	だけれども、しかし	
h0847	に応じて	
#  h0686	当然〜なるはずだ	
h0929	にとっては	
#  h0687	道理がない	
#  h1300	を問題にせず	
#  h0212	状態になりかけた	
h1022	のに対し	
#  h0213	状態になるかもしれなかった	
h1023	のに対して	
#  h1104	まして、〜の場合はなおさらである	
#  h0332	だろう	
#  h1061	はずだ	
h1224	ようにする	
#  h0252	するとすぐに	
h0810	なければならない	
#  h0253	するのがあたりまえ	
#  h0730	とたんに	
h0254	するのが当然だ	
#  h0731	と同時に	
h1145	ものでない	
#  h0219	既に〜したが、しかし	
h1146	ものではない	
#  h1183	要するに〜	
h1183	要するに	
#  h0176	好むと好まざるにかかわらずそう判断するしかない	
#  h0771	どんな〜でも皆	
h0853	に限り	
#  h0295	ただ〜だけの理由で…することはない	
#  h1069	は本当だが、実は	
#  h0819	なことに	
#  h0892	にしろ…にしろ	
#  h0298	だって	
#  h0939	にはかまっていられない	
h0859	に関係なく一緒に	
h0499	てはいけない	
h0898	に相違ない	
#  h0101	決して〜ない	
#  h0021	今にも〜しそう	
#  h1031	のわりには	
#  h0061	かな	
#  h1033	ばいい	
h0062	惜しいかな	
#  h1071	必要である	
h0181	ざるを得ない	
#  h0307	たとえ〜したとしても	
#  h0461	て困る	
h0182	ざるを得なかった	
h1074	不可欠である	
#  h0264	そうだ	
#  h0543	てほしい	
h0068	が早いか	
h0860	に関して	
#  h0781	ないと困る	
h0782	ないものだ	
#  h0188	した状態で…する	
#  h0629	と（引用）	
h0783	ないわけだ
# 助動詞相当語は除く    
#  h0789	なくっちゃいけない	助動詞と同様の働きをする表現
#  h0870	にきまっています	助動詞と同様の働きをする表現
#  h0871	にきまってる	助動詞と同様の働きをする表現
#  h0790	ねばいけない	助動詞と同様の働きをする表現
#  h0791	んといけない	助動詞と同様の働きをする表現
#  h0792	なくてはだめ	助動詞と同様の働きをする表現
#  h0793	なくてはだめだ	助動詞と同様の働きをする表現
#  h0794	なくちゃだめでしょう	助動詞と同様の働きをする表現
#  h0795	なくてはならない	助動詞と同様の働きをする表現
#  h0796	なくちゃならない	助動詞と同様の働きをする表現
#  h0797	なくちゃなりません	助動詞と同様の働きをする表現
#  h0798	なくては	助動詞と同様の働きをする表現
#  h0799	なくてはならなかった	助動詞と同様の働きをする表現
#  h0968	ねばならぬ	助動詞と同様の働きをする表現
#  h0969	ずばなるまい	助動詞と同様の働きをする表現
#  h0970	なければなるまい	助動詞と同様の働きをする表現
#  h0971	ねば	助動詞と同様の働きをする表現
#  h0972	ねばいかん	助動詞と同様の働きをする表現
#  h0973	ねばならなかった	助動詞と同様の働きをする表現
#  h0893	に過ぎない	助動詞と同様の働きをする表現
#  h0974	ねばならん	助動詞と同様の働きをする表現
#  h0894	に過ぎなかった	助動詞と同様の働きをする表現
#  h0895	に過ぎぬ	助動詞と同様の働きをする表現
#  h0898	に相違ない	助動詞と同様の働きをする表現
#  h0899	に相違あるまい	助動詞と同様の働きをする表現
#  h0995	のだ	助動詞と同様の働きをする表現
#  h0996	のじゃない	助動詞と同様の働きをする表現
#  h0997	のだった	助動詞と同様の働きをする表現
#  h0998	のであった	助動詞と同様の働きをする表現
#  h0999	のであります	助動詞と同様の働きをする表現
#  h0008	以外に考えられない	助動詞と同様の働きをする表現
#  h0011	以外の何物でもない	助動詞と同様の働きをする表現
#  h0014	以上のものではない	助動詞と同様の働きをする表現
#  h0018	一方だ	助動詞と同様の働きをする表現
#  h0019	一方です	助動詞と同様の働きをする表現
#  h0022	今まさに〜している	助動詞と同様の働きをする表現
#  h0104	ことがある	助動詞と同様の働きをする表現
#  h0105	ことある	助動詞と同様の働きをする表現
#  h0106	ことがあった	助動詞と同様の働きをする表現
#  h0107	ことがございます	助動詞と同様の働きをする表現
#  h0108	ことがない	助動詞と同様の働きをする表現
#  h0109	ことのある	助動詞と同様の働きをする表現
#  h1000	のである	助動詞と同様の働きをする表現
#  h0110	ことはある	助動詞と同様の働きをする表現
#  h1001	のでした	助動詞と同様の働きをする表現
#  h0111	こともある	助動詞と同様の働きをする表現
#  h0030	お〜ください	助動詞と同様の働きをする表現
#  h1002	のです	助動詞と同様の働きをする表現
#  h0031	ご〜ください	助動詞と同様の働きをする表現
#  h1003	のですか	助動詞と同様の働きをする表現
